reaction   FLUX    DeltaG
LEUTA_f                 0.05893               -31.82385
LPLIPAL1G180pp                 0.00000               -15.12258
LPLIPAL2E160                 0.00000               -24.32258
LPLIPAL2G160                 0.00000               -24.32258
LPLIPAL2G180                 0.00000               -21.82258
LYSabc                 0.00000               -60.71708
LYSDC                 0.00000               -29.16258
M1PD                 0.00000                 3.78737
MALT_f                 0.00000               -22.62258
MALTabc                 0.00000               -25.09258
MALTAT                 0.00000               -38.62450
MALTHXabc                 0.00000               -25.09258
MALTpts_f                 0.00000               -37.42450
MALTTRabc                 0.00000               -25.09258
MAN6PI                 0.00000                 7.60000
MANAO_f                 0.00000                 1.48737
MANpts_f                 0.00000               -42.62450
MBCOA3                 0.00000              -322.21742
MDRPD                 0.00000               -26.64000
ME1_rev                 0.00000                -5.89971
METabc                 0.00000               -60.71708
METALAtr                 0.00000               -25.09258
METDabc                 0.00000               -25.09258
METSOX1abc                 0.00000               -25.09258
METSOX2abc                 0.00000               -25.09258
MEVK2                 0.00000                -3.90000
MEVK3                 0.00000               -37.22450
MEVK4                 0.00000                -5.70000
MG2abc                 0.00000               -60.71708
MHPGLUT                 0.00000               -74.62450
MLTG1                 0.00000               -23.42258
MMSAD3                 0.00000               -15.68813
MNabc                 0.00000               -60.71708
MNLpts_f                 0.00000               -41.12450
MNNH                 0.00000               -20.64000
MOBDabc                 0.00000               -60.71708
MOHMT                 0.00002               -31.43354
MTAN                 0.00000               -23.92258
MTHFC_f                 0.00312                -7.96000
MTHFD_f                 0.00312                -1.50000
MTRK                 0.00000               -26.72450
NA6PH_f                 0.00000                24.00191
NABTNO                 0.00000               -56.97263
NADH10                 0.00000               -47.41187
NADH7                 0.00000               -47.41187
NALN6                 0.00000                37.62450
NAPRTr_f                 0.00000                37.16191
NBAH_f                 0.00000                -8.72258
NDPK1_f                 0.13325                -2.00000
NDPK2_f                 2.15740               -33.52450
NDPK3_f                 0.20864               -35.32450
NDPK4_f                 0.00069                -1.50000
NDPK5_f                 0.00033               -36.42450
NDPK6_f                 0.00000                -1.00000
NDPK7_f                 0.00033               -67.44899
NDPK8_f                 0.00067               -67.54899
NDPK9                 0.00000               -34.32450
NIabc                 0.00001               -60.71708
NNAM                 0.00000                37.40191
NO3R2_f                 4.00416               -80.47951
NO3R2pp                 0.00000              -110.96517
NODOx                 2.00208              -393.21321
NODOy                 0.00000              -436.49938
NOPD                 0.00000                33.65096
NPHSr_f                 0.00000              -102.06258
NTP11                 0.00000                 3.40191
NTRIR2x                 0.62116              -321.14211
NTRIR2y                 0.00000              -449.00062
OBTFL_f                 0.00000                31.62450
OCTD                 0.00000                51.62646
OIVD1r                 0.05893               -48.31263
OIVD2                 0.00876               -47.11263
OIVD3                 0.22550               -47.11263
OMPDC                 2.07987                -1.50000
OPHHXy                 0.00000              -461.65096
ORNDC                 0.00000               -34.30000
ORNTAC                 0.53266                -1.50000
ORNTAr_f                 0.00000                34.88773
ORPT_f                 2.07987                -1.50000
P5CD                 0.00000               -51.53198
PAPPT2_f                 0.00000                34.12450
PAPPT3                 0.00000                -1.50000
PAPSR                 0.00000               -48.48708
PC                 0.00000                 4.62450
PDHbr_f                 0.00000               -25.72450
PDHcr                 0.00000                25.21187
PEPC_f                 0.00000                 3.12450
PFLr                 0.00000                49.77349
PGAMT_f                 0.00000                 1.50000
PGCDr_f                 0.00000                 0.78737
PGLer_f                 6.02418                -1.50000
PGMT_f                 0.00000                 1.50000
PIabc                 0.27700               -25.09258
PLIPA2A180b                 0.00000                -9.66258
PMANM_f                 0.00000                 4.50000
PMDPHT                 0.00001               -24.32258
PMPK                 0.00000               -27.62450
POLYAO                 0.00000               -98.42258
POX3                 0.00000              -132.12532
PPA                 6.58408               -44.83617
PPBNGS                 0.00135              -104.74191
PPCDC                 0.00002               -60.98708
PPCOAC                 0.00000                 6.10000
PPM_f                 0.00000               -13.80000
PPM2_f                 0.00000                 1.50000
PPND                 0.00454               -64.99971
PPNDH                 0.00610               -92.42708
PPTT                 0.00000               -62.93742
PRAGS                 0.00000               -15.40000
PRAI_f                 0.00187                -9.80000
PRASCS                 0.00000               -99.52450
PRMICIi_f                 0.00312               -45.42450
PROabc                 0.00000               -25.09258
PSERT                 0.00000                13.70065
PTPATi                 0.00002               -48.96191
PTRCabc                 0.00000               -25.09258
PUTA3_f                 0.00000               -96.59648
PYK3_f                 0.00000                -3.50000
PYRZAM                 0.00000                -0.72258
RAFH_f                 0.00000               -32.52258
RBFSb                 0.00001               -64.37550
RE0453C_f                 0.00000                65.94899
RETOx_f                 0.00000                -4.11263
RHCCE                 0.00001               -45.28708
RIBabc                 0.00000               -25.09258
RIBabc2                 0.00000               -25.09258
RNDR1                 0.02568               -28.84000
RNDR2                 0.00033               -56.46450
RNDR3                 0.01777               -24.44000
RNDR4                 0.00000               -62.96450
RNTR1                 0.00000               -96.88899
RNTR2                 0.00000               -90.88899
RNTR3                 0.00000               -56.56450
RNTR4                 0.00000               -30.44000
RPE_f                 2.55145                -3.11292
RPI_f                 0.00000                 4.40000
RSLML_f                 0.00000                29.43742
S1AGPA                 0.00000                -3.60000
S7PIr_f                 0.00000                 2.20000
SADT2                 0.00000                -4.98450
SALCOD                 0.00000              -434.52737
SBTpts_f                 0.00000               -43.92450
SDPDS                 0.00000                 9.14000
SERAT_f                 0.00000               -76.84899
SERD_L                 0.77500               -43.21158
SERD_Lr                 0.58111               -43.21158
SHK3Dr_f                 0.00000                62.33804
SHSL4r                 0.00000               -26.12258
